event_date,event_location,fighter1,fighter2,result_raw,winner,kd_1,kd_2,str_1,str_2,td_1,td_2,sub_1,sub_2,weight_class,method,method_detail,round,time
"April 18, 2026","Winnipeg, Manitoba, Canada",Jai Herbert,Mandel Nallo,win,Jai Herbert,2,1,19,16,0,0,0,0,Lightweight,KO/TKO,Punches,1,2:05
"April 18, 2026","Winnipeg, Manitoba, Canada",Jasmine Jasudavicius,Karine Silva,win,Jasmine Jasudavicius,0,0,18,15,3,0,0,2,Women's Flyweight,U-DEC,,3,5:00
"April 18, 2026","Winnipeg, Manitoba, Canada",Gauge Young,Thiago Moises,win,Gauge Young,1,0,122,45,0,2,0,0,Lightweight,S-DEC,,3,5:00
"April 18, 2026","Winnipeg, Manitoba, Canada",Marcio Barbosa,Dennis Buzukja,win,Marcio Barbosa,1,0,4,5,0,0,0,0,Featherweight,KO/TKO,Punch,1,1:20
"April 18, 2026","Winnipeg, Manitoba, Canada",Robert Valentin,Julien Leblanc,win,Robert Valentin,0,0,7,4,1,0,1,0,Middleweight,SUB,Rear Naked Choke,1,2:22
"April 18, 2026","Winnipeg, Manitoba, Canada",Gokhan Saricam,Tanner Boser,win,Gokhan Saricam,1,0,57,60,0,0,0,0,Heavyweight,KO/TKO,Punch,2,4:43
"April 18, 2026","Winnipeg, Manitoba, Canada",Melissa Croden,Daria Zhelezniakova,win,Melissa Croden,0,0,69,41,4,0,1,0,Women's Bantamweight,U-DEC,,3,5:00
"April 18, 2026","Winnipeg, Manitoba, Canada",JJ Aldrich,Jamey-Lyn Horth,win,JJ Aldrich,0,0,50,70,0,0,0,0,Women's Flyweight,U-DEC,,3,5:00
"April 18, 2026","Winnipeg, Manitoba, Canada",John Castaneda,Mark Vologdin,draw/draw,,0,0,135,91,0,1,0,0,Catch Weight,M-DEC,,3,5:00
"April 18, 2026","Winnipeg, Manitoba, Canada",John Yannis,Jamie Siraj,win,John Yannis,1,0,21,6,0,0,0,0,Bantamweight,KO/TKO,Elbows,1,2:43
"April 11, 2026","Miami, Florida, USA",Carlos Ulberg,Jiri Prochazka,win,Carlos Ulberg,1,0,27,14,0,0,0,0,Light Heavyweight,KO/TKO,Punch,1,3:45
"April 11, 2026","Miami, Florida, USA",Paulo Costa,Azamat Murzakanov,win,Paulo Costa,1,0,55,34,0,1,0,1,Light Heavyweight,KO/TKO,Kick,3,1:23
"April 11, 2026","Miami, Florida, USA",Josh Hokit,Curtis Blaydes,win,Josh Hokit,0,0,177,174,0,2,0,0,Heavyweight,U-DEC,,3,5:00
"April 11, 2026","Miami, Florida, USA",Dominick Reyes,Johnny Walker,win,Dominick Reyes,0,0,34,42,0,0,0,0,Light Heavyweight,S-DEC,,3,5:00
"April 11, 2026","Miami, Florida, USA",Cub Swanson,Nate Landwehr,win,Cub Swanson,2,0,37,15,0,0,0,0,Featherweight,KO/TKO,Punch,1,4:06
"April 11, 2026","Miami, Florida, USA",Aaron Pico,Patricio Pitbull,win,Aaron Pico,0,0,100,49,6,0,0,0,Featherweight,U-DEC,,3,5:00
"April 11, 2026","Miami, Florida, USA",Kevin Holland,Randy Brown,win,Kevin Holland,0,0,56,46,0,0,2,0,Welterweight,U-DEC,,3,5:00
"April 11, 2026","Miami, Florida, USA",Mateusz Gamrot,Esteban Ribovics,win,Mateusz Gamrot,0,0,18,4,4,0,1,0,Lightweight,SUB,Arm Triangle,2,4:19
"April 11, 2026","Miami, Florida, USA",Tatiana Suarez,Loopy Godinez,win,Tatiana Suarez,0,0,12,18,3,2,1,0,Women's Strawweight,SUB,Rear Naked Choke,2,2:29
"April 11, 2026","Miami, Florida, USA",Chris Padilla,MarQuel Mederos,draw/draw,,0,0,147,112,1,1,0,0,Lightweight,M-DEC,,3,5:00
"April 11, 2026","Miami, Florida, USA",Vicente Luque,Kelvin Gastelum,win,Vicente Luque,1,0,12,9,0,1,1,0,Middleweight,SUB,Anaconda Choke,1,4:08
"April 11, 2026","Miami, Florida, USA",Charles Radtke,Francisco Prado,win,Charles Radtke,0,0,24,29,4,0,0,2,Welterweight,U-DEC,,3,5:00
"April 04, 2026","Las Vegas, Nevada, USA",Renato Moicano,Chris Duncan,win,Renato Moicano,0,0,21,27,1,0,1,0,Lightweight,SUB,Rear Naked Choke,2,3:14
"April 04, 2026","Las Vegas, Nevada, USA",Virna Jandiroba,Tabatha Ricci,win,Virna Jandiroba,0,0,26,37,6,1,0,0,Women's Strawweight,U-DEC,,3,5:00
"April 04, 2026","Las Vegas, Nevada, USA",Abdul Rakhman Yakhyaev,Brendson Ribeiro,win,Abdul Rakhman Yakhyaev,0,0,7,8,2,0,1,0,Light Heavyweight,SUB,Rear Naked Choke,1,2:52
"April 04, 2026","Las Vegas, Nevada, USA",Ethyn Ewing,Rafael Estevam,win,Ethyn Ewing,1,0,114,44,0,0,0,0,Bantamweight,KO/TKO,Punch,3,1:44
"April 04, 2026","Las Vegas, Nevada, USA",Tommy McMillen,Manolo Zecchini,win,Tommy McMillen,1,0,74,20,0,0,0,0,Featherweight,KO/TKO,Knee,1,3:57
