event_name,event_date,fight_url
UFC Fight Night: Thompson vs. Holland,12/03/2022,http://ufcstats.com/fight-details/ca0f0a35a1fcb453
UFC Fight Night: Thompson vs. Holland,12/03/2022,http://ufcstats.com/fight-details/7fbf09533c59e43f
UFC Fight Night: Thompson vs. Holland,12/03/2022,http://ufcstats.com/fight-details/0c9faf26efe2cdcc
UFC Fight Night: Thompson vs. Holland,12/03/2022,http://ufcstats.com/fight-details/7bd6969c4ed979f9
UFC Fight Night: Thompson vs. Holland,12/03/2022,http://ufcstats.com/fight-details/92c1d9a6d313cb0c
UFC Fight Night: Thompson vs. Holland,12/03/2022,http://ufcstats.com/fight-details/be977e524ef56aa4
UFC Fight Night: Thompson vs. Holland,12/03/2022,http://ufcstats.com/fight-details/30abc50a2e71c576
UFC Fight Night: Thompson vs. Holland,12/03/2022,http://ufcstats.com/fight-details/1114cd1515cf3b8f
UFC Fight Night: Thompson vs. Holland,12/03/2022,http://ufcstats.com/fight-details/2cec230248d7eb97
UFC Fight Night: Nzechukwu vs. Cutelaba,11/19/2022,http://ufcstats.com/fight-details/c33257dd0605c7de
UFC Fight Night: Nzechukwu vs. Cutelaba,11/19/2022,http://ufcstats.com/fight-details/110f539523a4b571
UFC Fight Night: Nzechukwu vs. Cutelaba,11/19/2022,http://ufcstats.com/fight-details/c317f85a8266313e
UFC Fight Night: Nzechukwu vs. Cutelaba,11/19/2022,http://ufcstats.com/fight-details/d0c01840c72429c6
UFC Fight Night: Nzechukwu vs. Cutelaba,11/19/2022,http://ufcstats.com/fight-details/b4cfb34e8224fd77
UFC Fight Night: Nzechukwu vs. Cutelaba,11/19/2022,http://ufcstats.com/fight-details/144443d4dbf43990
UFC Fight Night: Nzechukwu vs. Cutelaba,11/19/2022,http://ufcstats.com/fight-details/594435375d641f63
UFC Fight Night: Nzechukwu vs. Cutelaba,11/19/2022,http://ufcstats.com/fight-details/0f2983fe7753403f
UFC Fight Night: Nzechukwu vs. Cutelaba,11/19/2022,http://ufcstats.com/fight-details/bd064deb3494b41a
UFC Fight Night: Nzechukwu vs. Cutelaba,11/19/2022,http://ufcstats.com/fight-details/a3696c847ef6c7f9
UFC Fight Night: Nzechukwu vs. Cutelaba,11/19/2022,http://ufcstats.com/fight-details/33719a2d9c69ed17
UFC 281: Adesanya vs. Pereira,11/12/2022,http://ufcstats.com/fight-details/04f32bb0c0d3a8cc
UFC 281: Adesanya vs. Pereira,11/12/2022,http://ufcstats.com/fight-details/85b5d59f8eea976a
UFC 281: Adesanya vs. Pereira,11/12/2022,http://ufcstats.com/fight-details/4bf3010fdeea9d93
UFC 281: Adesanya vs. Pereira,11/12/2022,http://ufcstats.com/fight-details/09afa6ce4747a1a2
UFC 281: Adesanya vs. Pereira,11/12/2022,http://ufcstats.com/fight-details/77c78d0a71b10692
UFC 281: Adesanya vs. Pereira,11/12/2022,http://ufcstats.com/fight-details/1f922cfe6178e830
UFC 281: Adesanya vs. Pereira,11/12/2022,http://ufcstats.com/fight-details/6f22afbc5f8e0bd3
UFC 281: Adesanya vs. Pereira,11/12/2022,http://ufcstats.com/fight-details/93da91272d4a7ce3
UFC 281: Adesanya vs. Pereira,11/12/2022,http://ufcstats.com/fight-details/65ce9335b93d9c57
UFC 281: Adesanya vs. Pereira,11/12/2022,http://ufcstats.com/fight-details/40707ddc9fdea500
UFC 281: Adesanya vs. Pereira,11/12/2022,http://ufcstats.com/fight-details/ff2e4b411f695017
UFC 281: Adesanya vs. Pereira,11/12/2022,http://ufcstats.com/fight-details/7f93b2f38497caec
UFC 281: Adesanya vs. Pereira,11/12/2022,http://ufcstats.com/fight-details/bee95769a221af9a
UFC 281: Adesanya vs. Pereira,11/12/2022,http://ufcstats.com/fight-details/db026ff6eee4d174
UFC Fight Night: Rodriguez vs. Lemos,11/05/2022,http://ufcstats.com/fight-details/abfc03893551ae73
