fighter,fighter_url
Alexia Thainara,http://ufcstats.com/fighter-details/545092d13c67aa49
Movsar Evloev,http://ufcstats.com/fighter-details/76e2870ffafbe38f
Luke Riley,http://ufcstats.com/fighter-details/b1de86d835638319
Michael Page,http://ufcstats.com/fighter-details/a67d071163962af8
Christian Leroy Duncan,http://ufcstats.com/fighter-details/a93f94c923c3a9cb
Danny Silva,http://ufcstats.com/fighter-details/d964a59c48381cb6
Mason Jones,http://ufcstats.com/fighter-details/f6ad6a1e4d600e0d
Nathaniel Wood,http://ufcstats.com/fighter-details/329e403448756217
Mario Pinto,http://ufcstats.com/fighter-details/39d309957c5c210d
Mantas Kondratavicius,http://ufcstats.com/fighter-details/3cc506f115cbb9d5
Abdul-Kareem Al-Selwady,http://ufcstats.com/fighter-details/597499ac7a5aac62
Shanelle Dyer,http://ufcstats.com/fighter-details/cfbb3edab781dfd2
Kevin Vallejos,http://ufcstats.com/fighter-details/239d8e5359022f3b
Gillian Robertson,http://ufcstats.com/fighter-details/38c7f72747f4f712
Jose Delgado,http://ufcstats.com/fighter-details/7d6ceff6747f2de2
Ion Cutelaba,http://ufcstats.com/fighter-details/cd13728ae1151f46
Charles Johnson,http://ufcstats.com/fighter-details/814e5233e2acf2ee
Myktybek Orolbai,http://ufcstats.com/fighter-details/bf2c8e01b07d3eb1
Vitor Petrino,http://ufcstats.com/fighter-details/71171fc96445bf65
Elijah Smith,http://ufcstats.com/fighter-details/7478b7f959ba61f5
Manoel Sousa,http://ufcstats.com/fighter-details/5870c541798124ae
Eryk Anders,http://ufcstats.com/fighter-details/cad24459b28592ca
Hecher Sosa,http://ufcstats.com/fighter-details/ec3bd30378d63dd1
Piera Rodriguez,http://ufcstats.com/fighter-details/e375cb5caf4717b6
Charles Oliveira,http://ufcstats.com/fighter-details/07225ba28ae309b6
Caio Borralho,http://ufcstats.com/fighter-details/4126a78111c0855a
Raul Rosas Jr.,http://ufcstats.com/fighter-details/fe2babf95de24fb1
Drew Dober,http://ufcstats.com/fighter-details/519e4fe37ce9ff75
Gregory Rodrigues,http://ufcstats.com/fighter-details/d1c65d2cf2925ddd
Cody Garbrandt,http://ufcstats.com/fighter-details/d8c7c61b176e3994
Donte Johnson,http://ufcstats.com/fighter-details/ad5cb64af10fc946
Alberto Montes,http://ufcstats.com/fighter-details/a112097ad877a48f
Nyamjargal Tumendemberel,http://ufcstats.com/fighter-details/17cb6d8e8187f304
Sumudaerji,http://ufcstats.com/fighter-details/3cf18e01cb6cbde3
Diyar Nurgozhay,http://ufcstats.com/fighter-details/709fadb644ee3f51
Rodolfo Bellato,http://ufcstats.com/fighter-details/69898645d600abdb
Lone'er Kavanagh,http://ufcstats.com/fighter-details/bb2c3c3a466224af
David Martinez,http://ufcstats.com/fighter-details/9a97acbfd5a08bfa
Imanol Rodriguez,http://ufcstats.com/fighter-details/6e8349a0a0476d60
Santiago Luna,http://ufcstats.com/fighter-details/faf317c665546a36
Ryan Gandra,http://ufcstats.com/fighter-details/e463ce0a2ca474f4
Ailin Perez,http://ufcstats.com/fighter-details/06e4245d16fc5315
Cristian Quinonez,http://ufcstats.com/fighter-details/7debc13b36343605
Javier Reyes,http://ufcstats.com/fighter-details/4a574b8512fc1b30
Regina Tarin,http://ufcstats.com/fighter-details/9f5609dba6584ab2
Damian Pinas,http://ufcstats.com/fighter-details/fdd22e895a70e4a8
Uros Medic,http://ufcstats.com/fighter-details/681399317dbf4701
Melquizael Costa,http://ufcstats.com/fighter-details/20bccc9bb4ceb23e
Serghei Spivac,http://ufcstats.com/fighter-details/e2f6b2769aaedd6c
Jacobe Smith,http://ufcstats.com/fighter-details/85497ffd934ecf7e
Michel Pereira,http://ufcstats.com/fighter-details/595db60957de51d3
Carlos Leal,http://ufcstats.com/fighter-details/28d421729451c8ca
Ode Osbourne,http://ufcstats.com/fighter-details/6d68c1afe954f121
Alden Coria,http://ufcstats.com/fighter-details/5e9ca8dd7d783a75
Punahele Soriano,http://ufcstats.com/fighter-details/64facb6cc564262d
Jean-Paul Lebosnoyani,http://ufcstats.com/fighter-details/a3dda21be645be93
Jordan Leavitt,http://ufcstats.com/fighter-details/ac026518a9b4dc0f
Carli Judice,http://ufcstats.com/fighter-details/f1ab6f37492c630a
Mario Bautista,http://ufcstats.com/fighter-details/bc711b6dd95c1af6
Kyoji Horiguchi,http://ufcstats.com/fighter-details/98aa60cf58071fd6
Rizvan Kuniev,http://ufcstats.com/fighter-details/739fd4fbb5d862f4
Michal Oleksiejczuk,http://ufcstats.com/fighter-details/0d65c432720accb9
Farid Basharat,http://ufcstats.com/fighter-details/a09ed60aa67a3f67
Dustin Jacoby,http://ufcstats.com/fighter-details/e4277e87a789d687
Nikolay Veretennikov,http://ufcstats.com/fighter-details/0f1efce7d2571d10
Javid Basharat,http://ufcstats.com/fighter-details/bbab3baf66128ae2
Wang Cong,http://ufcstats.com/fighter-details/2997e7fe3c9d3d4a
Jakub Wiklacz,http://ufcstats.com/fighter-details/6902fcf0610dd303
Klaudia Sygula,http://ufcstats.com/fighter-details/9f5e3c20ce40b344
Alexander Volkanovski,http://ufcstats.com/fighter-details/e1248941344b3288
Benoit Saint Denis,http://ufcstats.com/fighter-details/c2299ec916bc7c56
Tallison Teixeira,http://ufcstats.com/fighter-details/17923f676f100e16
Billy Elekana,http://ufcstats.com/fighter-details/07a74004d964c7f4
Dom Mar Fan,http://ufcstats.com/fighter-details/530af2900b5a1693
Keiichiro Nakamura,http://ufcstats.com/fighter-details/3618e0632ecdba9c
Lawrence Lui,http://ufcstats.com/fighter-details/a1ad35b98a9136e5
Waldo Cortes Acosta,http://ufcstats.com/fighter-details/fc08099550072fe4
Natalia Silva,http://ufcstats.com/fighter-details/262d32ebda89efc4
Jean Silva,http://ufcstats.com/fighter-details/52ef95b5860fb28c
Umar Nurmagomedov,http://ufcstats.com/fighter-details/2b6fc1c02736833d
Nikita Krylov,http://ufcstats.com/fighter-details/1091d4d957141094
Ty Miller,http://ufcstats.com/fighter-details/0859524157a19045
Cezary Oleksiejczuk,http://ufcstats.com/fighter-details/084532da3d25f3b8
Kennedy Nzechukwu,http://ufcstats.com/fighter-details/8667caa0451d245b
Steven Asplund,http://ufcstats.com/fighter-details/e56cee1ad697db04
Guilherme Pat,http://ufcstats.com/fighter-details/ba15006c804a8de0
Jamey-Lyn Horth,http://ufcstats.com/fighter-details/5c637af9472ae7cc
Petr Yan,http://ufcstats.com/fighter-details/d661ce4da776fc20
Tatsuro Taira,http://ufcstats.com/fighter-details/4461d7e47375a895
Payton Talbott,http://ufcstats.com/fighter-details/6e743a33d56bdaa4
Jan Blachowicz,http://ufcstats.com/fighter-details/99df7d0a2a08a8a8
Manuel Torres,http://ufcstats.com/fighter-details/2e7878927067fdca
Chris Duncan,http://ufcstats.com/fighter-details/fd406a32a6fb3a29
Maycee Barber,http://ufcstats.com/fighter-details/6a740daf1b279661
Fares Ziam,http://ufcstats.com/fighter-details/1e4f273069fb9e85
Brunno Ferreira,http://ufcstats.com/fighter-details/1e719d4b676dc19a
